par_stateabbrv,par_stnum,top5cit,pq
AK,1,0,1
AK,1,0,2
AK,1,0,3
AK,1,0,4
AK,1,0.0001631,5
AL,2,0.0000135,1
AL,2,0,2
AL,2,0.0000194,3
AL,2,0.0000438,4
AL,2,0.0001298,5
AR,3,0.0000231,1
AR,3,0,2
AR,3,0.0000583,3
AR,3,0.0001178,4
AR,3,0.0000569,5
AZ,4,0.0000409,1
AZ,4,0.0000334,2
AZ,4,0.0001071,3
AZ,4,0.0000946,4
AZ,4,0.0001749,5
CA,5,0.0000307,1
CA,5,0.0000455,2
CA,5,0.0000755,3
CA,5,0.0001217,4
CA,5,0.0002621,5
CO,6,0.0000624,1
CO,6,0.0000442,2
CO,6,0,3
CO,6,0.0000356,4
CO,6,0.0003763,5
CT,7,0.0000466,1
CT,7,0.0001237,2
CT,7,0.0000675,3
CT,7,0.0001771,4
CT,7,0.0002515,5
DC,8,0.0001603,1
DC,8,0,2
DC,8,0,3
DC,8,0.0005571,4
DC,8,0.0003298,5
DE,9,0,1
DE,9,0,2
DE,9,0,3
DE,9,0.0002091,4
DE,9,0.0000943,5
FL,10,0.0000308,1
FL,10,0.0000293,2
FL,10,0.0000653,3
FL,10,0.0000656,4
FL,10,0.0002251,5
GA,11,0,1
GA,11,0.0000186,2
GA,11,0.0000453,3
GA,11,0.0000603,4
GA,11,0.0001889,5
HI,12,0,1
HI,12,0,2
HI,12,0,3
HI,12,0.0001454,4
HI,12,0.0007056,5
IA,13,0,1
IA,13,0.0000824,2
IA,13,0.0000798,3
IA,13,0.0001422,4
IA,13,0.000212,5
ID,14,0.000078,1
ID,14,0.0000489,2
ID,14,0,3
ID,14,0.000097,4
ID,14,0.0002877,5
IL,15,0,1
IL,15,0.0000477,2
IL,15,0.0000715,3
IL,15,0.0001555,4
IL,15,0.0003875,5
IN,16,0,1
IN,16,0.0000421,2
IN,16,0.0000801,3
IN,16,0.0002277,4
IN,16,0.0001673,5
KS,17,0.0000455,1
KS,17,0.0000298,2
KS,17,0.0000953,3
KS,17,0.0000237,4
KS,17,0.0003078,5
KY,18,0.0000198,1
KY,18,0.0000195,2
KY,18,0,3
KY,18,0.0000431,4
KY,18,0.0001149,5
LA,19,0,1
LA,19,0.0000148,2
LA,19,0.0000183,3
LA,19,0.0000397,4
LA,19,0.0001671,5
MA,20,0,1
MA,20,0.0000419,2
MA,20,0.0001039,3
MA,20,0.0001914,4
MA,20,0.0003372,5
MD,21,0,1
MD,21,0.000018,2
MD,21,0.0000739,3
MD,21,0.0000332,4
MD,21,0.0001891,5
ME,22,0,1
ME,22,0,2
ME,22,0.0001024,3
ME,22,0.0000584,4
ME,22,0.0000888,5
MI,23,0.0000699,1
MI,23,0.0000604,2
MI,23,0.000059,3
MI,23,0.0001427,4
MI,23,0.0004525,5
MN,24,0,1
MN,24,0.0000596,2
MN,24,0.000085,3
MN,24,0.0001509,4
MN,24,0.0003235,5
MO,25,0.0000323,1
MO,25,0.0000404,2
MO,25,0.000013,3
MO,25,0.0000811,4
MO,25,0.0001275,5
MS,26,0,1
MS,26,0.0000405,2
MS,26,0,3
MS,26,0,4
MS,26,0.0000558,5
MT,27,0.0000859,1
MT,27,0.0000684,2
MT,27,0.0001292,3
MT,27,0,4
MT,27,0.0001403,5
NC,28,0.0000217,1
NC,28,0.0000299,2
NC,28,0.0000345,3
NC,28,0.0001,4
NC,28,0.0002981,5
ND,29,0,1
ND,29,0.0001105,2
ND,29,0,3
ND,29,0.000178,4
ND,29,0.0004647,5
NE,30,0,1
NE,30,0,2
NE,30,0.0002051,3
NE,30,0.0001796,4
NE,30,0.000145,5
NH,31,0.0002824,1
NH,31,0.0001571,2
NH,31,0.00012,3
NH,31,0.0001038,4
NH,31,0.0004531,5
NJ,32,0,1
NJ,32,0,2
NJ,32,0.0000433,3
NJ,32,0.0001053,4
NJ,32,0.0002441,5
NM,33,0,1
NM,33,0,2
NM,33,0.0000844,3
NM,33,0.0000522,4
NM,33,0.0002076,5
NV,34,0.0000662,1
NV,34,0.0000909,2
NV,34,0.0000456,3
NV,34,0.0001855,4
NV,34,0.000107,5
NY,35,0.000044,1
NY,35,0.0000449,2
NY,35,0.0000468,3
NY,35,0.0001463,4
NY,35,0.0002567,5
OH,36,0.0000475,1
OH,36,0.0000412,2
OH,36,0.0001069,3
OH,36,0.0002073,4
OH,36,0.0004225,5
OK,37,0.00002,1
OK,37,0,2
OK,37,0,3
OK,37,0.0000999,4
OK,37,0.0001051,5
OR,38,0.0000689,1
OR,38,0.0000511,2
OR,38,0.0001292,3
OR,38,0.0000441,4
OR,38,0.0002042,5
PA,39,0,1
PA,39,0.0000685,2
PA,39,0.0000639,3
PA,39,0.0001961,4
PA,39,0.0002568,5
RI,40,0,1
RI,40,0.000106,2
RI,40,0,3
RI,40,0.0000809,4
RI,40,0.0004108,5
SC,41,0.0000163,1
SC,41,0.0000343,2
SC,41,0,3
SC,41,0.0000974,4
SC,41,0.0000611,5
SD,42,0,1
SD,42,0,2
SD,42,0.0002756,3
SD,42,0.0001782,4
SD,42,0.0001463,5
TN,43,0.000028,1
TN,43,0,2
TN,43,0.0000292,3
TN,43,0.0000838,4
TN,43,0.000175,5
TX,44,0.0000133,1
TX,44,0.0000241,2
TX,44,0.0000427,3
TX,44,0.0000329,4
TX,44,0.0001824,5
UT,45,0,1
UT,45,0,2
UT,45,0.0000482,3
UT,45,0.0000401,4
UT,45,0.0002019,5
VA,46,0.0000156,1
VA,46,0,2
VA,46,0.000013,3
VA,46,0.0000759,4
VA,46,0.0002345,5
VT,47,0.0001798,1
VT,47,0.0002519,2
VT,47,0.000425,3
VT,47,0,4
VT,47,0.0004551,5
WA,48,0,1
WA,48,0.0001185,2
WA,48,0.0001178,3
WA,48,0.0001125,4
WA,48,0.0004874,5
WI,49,0.0001047,1
WI,49,0.000053,2
WI,49,0.0001003,3
WI,49,0.000165,4
WI,49,0.0003675,5
WV,50,0,1
WV,50,0,2
WV,50,0.0000412,3
WV,50,0.0000494,4
WV,50,0.0003356,5
WY,51,0,1
WY,51,0,2
WY,51,0,3
WY,51,0,4
WY,51,0,5
